hhid,areaid,treatment,spandana_1,othermfi_1,anymfi_1,anybank_1,anyinformal_1,spandana_amt_1,othermfi_amt_1,anymfi_amt_1,bank_amt_1,informal_amt_1,anyloan_amt_1,newbiz_1,relative_amt_1,friend_amt_1,shg_amt_1,moneylender_amt_1,bizhat,any_newbiz_1,bizhat_any,bizhat_old,informal_amt_3,anyinformal_3,w,degree_3,shared_degree_3,nonshared_degree_3,flink_3,nflink_3,shared_flink_3,shared_nflink_3,nonshared_flink_3,nonshared_nflink_3,shared_prop_3,mfilinks_3,mfilinks_f_3,mfilinks_nf_3,mfilinks_known_3,any_mfi_link_3,mfi_group_3,stratum,span_entry_date,entry_order,ed1,ed2,ed3,ed4,ed5,kid1620,girl1620,boy1620,kid515,girl515,boy515,woman2130,man2130,woman2130_ed1,man2130_ed1,woman2130_ed2,man2130_ed2,woman2130_ed3,man2130_ed3,woman2130_ed4,man2130_ed4,woman2130_ed5,man2130_ed5,woman2130_lit,man2130_lit,woman3140,man3140,woman3140_ed1,man3140_ed1,woman3140_ed2,man3140_ed2,woman3140_ed3,man3140_ed3,woman3140_ed4,man3140_ed4,woman3140_ed5,man3140_ed5,woman3140_lit,man3140_lit,woman4150,man4150,woman4150_ed1,man4150_ed1,woman4150_ed2,man4150_ed2,woman4150_ed3,man4150_ed3,woman4150_ed4,man4150_ed4,woman4150_ed5,man4150_ed5,woman4150_lit,man4150_lit,woman5160,man5160,woman5160_ed1,man5160_ed1,woman5160_ed2,man5160_ed2,woman5160_ed3,man5160_ed3,woman5160_ed4,man5160_ed4,woman5160_ed5,man5160_ed5,woman5160_lit,man5160_lit,woman61100,man61100,woman61100_ed1,man61100_ed1,woman61100_ed2,man61100_ed2,woman61100_ed3,man61100_ed3,woman61100_ed4,man61100_ed4,woman61100_ed5,man61100_ed5,woman61100_lit,man61100_lit,religion1,religion2,religion3,religion4,religion5,caste1,caste2,caste3,caste4,latrine_any,latrine_own,num_rooms,num_rooms_pucca,roof_thatch,roof_rcc,any_old_biz,area_debt_total_base,area_pop_base,area_business_total_base,area_exp_pc_mean_base,area_literate_head_base,area_literate_base,hhsize_adj_1,adults_1,children_1,male_head_1,head_age_1,head_noeduc_1,women1845_1,anychild1318_1,spouse_literate_1,spouse_works_wage_1,ownland_hyderabad_1,ownland_village_1,informal_new_amt_1,shg_new_amt_1,anymfi_amt_1D,informal_new_amt_1D,friend_amt_1D,shg_new_amt_1D,relative_amt_1D,moneylender_amt_1D,informal_amt_1alt2,predicted_classification,MF,H,is_training,L,HxMF,LxMF,density_3,anymfi_ind,formid,slumid,h
3,1,1,No,No,No,No,Yes,0,0,0,0,60000,0,0,0,60000,15000,0,0.0752558633685112,0,0.00825606007128954,0.08732785284519196,0,0,1,6,1,5,3,4,1,0,2,4,0.1666666716337204,0,0,0,0,0,0,2,2006-07-10,43,2,1,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,0,0,0,1,81050,272,11,1334.76611328125,0.5,0.5338982939720154,4.179999828338623,2,3,1,40,0,1,1,1,0,0,1,75000,15000,0,75000,60000,15000,0,0,75000,No,1,0,0,1,0,1,0.022058823529411766,0,3,1,0
4,1,1,No,No,No,No,Yes,0,0,0,0,60000,51700,0,0,0,0,60000,NA,0,NA,NA,20000,1,1,17,4,13,8,10,1,4,7,6,0.23529411852359772,0,0,0,0,0,0,2,2006-07-10,43,1,2,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,3,0,0,0,1,81050,272,11,1334.76611328125,0.5,0.5338982939720154,4.03000020980835,2,3,1,37,0,1,1,0,1,0,0,60000,0,0,60000,0,0,0,60000,60000,Yes,1,1,0,0,1,0,0.0625,0,4,1,1
5,1,1,No,No,No,No,No,0,0,0,0,0,23000,0,0,0,15000,0,0.0752558633685112,0,0.00825606007128954,0.08732785284519196,10500,1,1,12,6,6,9,7,6,3,3,4,0.5,0,0,0,0,0,0,2,2006-07-10,43,1,1,1,0,1,0,0,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,4,0,0,0,1,81050,272,11,1334.76611328125,0.5,0.5338982939720154,5.409999847412109,4,2,1,32,0,1,1,1,0,0,1,15000,15000,0,15000,0,15000,0,0,15000,No,1,0,0,1,0,1,0.04411764705882353,0,5,1,0
8,1,1,Yes,No,Yes,No,No,15000,0,15000,0,0,15000,0,0,0,0,0,0.06404010206460953,0,0.01333788875490427,0.06816396862268448,0,0,0.8196721076965332,7,1,6,4,4,1,0,3,4,0.1428571492433548,0,0,0,0,0,0,2,2006-07-10,43,3,1,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,81050,272,11,1334.76611328125,0.5,0.5338982939720154,3.0899999141693115,2,2,1,31,0,1,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,No,1,0,0,1,0,1,0.025735294117647058,1,8,1,0
11,1,1,No,No,No,No,Yes,0,0,0,0,10000,0,0,0,10000,0,0,NA,0,NA,NA,50000,1,1,4,0,4,3,1,0,0,3,1,0,0,0,0,0,0,0,2,2006-07-10,43,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,3,3,0,0,0,81050,272,11,1334.76611328125,0.5,0.5338982939720154,4.699999809265137,4,0,0,48,1,1,0,1,0,0,0,10000,0,0,10000,10000,0,0,0,10000,No,1,0,0,1,0,1,0.014705882352941176,0,11,1,0
12,1,1,No,No,No,No,Yes,0,0,0,0,40000,40000,0,0,0,0,40000,NA,0,NA,NA,40000,1,1,5,0,5,4,1,0,0,4,1,0,0,0,0,0,0,0,2,2006-07-10,43,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,3,0,0,0,0,81050,272,11,1334.76611328125,0.5,0.5338982939720154,2.9000000953674316,3,0,0,46,0,0,0,1,0,0,0,40000,0,0,40000,0,0,0,40000,40000,No,1,0,0,1,0,1,0.01838235294117647,0,12,1,0
19,1,1,No,Yes,Yes,No,No,0,20000,20000,0,0,20000,0,0,0,0,0,0.04623783752322197,0,0.005413274746388197,0.04849889129400253,10000,1,1,8,2,6,5,7,2,2,3,5,0.25,0,0,0,0,0,0,2,2006-07-10,43,1,3,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,81050,272,11,1334.76611328125,0.5,0.5338982939720154,5.409999847412109,4,2,1,35,0,1,1,1,1,0,0,0,0,20000,0,0,0,0,0,0,No,1,0,0,1,0,1,0.029411764705882353,1,19,1,0
20,1,1,No,No,No,No,No,0,0,0,0,0,5000,0,0,0,5000,0,0.07895591109991074,0,0.013961325399577618,0.08175098896026611,12500,1,1,13,4,9,7,7,4,1,3,6,0.3076923191547394,0,0,0,0,0,0,2,2006-07-10,43,2,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,1,0,1,0,81050,272,11,1334.76611328125,0.5,0.5338982939720154,2.940000057220459,2,2,1,33,0,1,0,1,0,0,0,5000,5000,0,5000,0,5000,0,0,5000,No,1,0,0,1,0,1,0.04779411764705882,0,20,1,0
24,1,1,No,No,No,No,Yes,0,0,0,0,60000,66700,0,0,0,0,60000,0.08409472554922104,0,0.015499385073781013,0.08260781317949295,0,0,1,3,2,1,1,2,0,2,1,0,0.6666666865348816,NA,NA,NA,NA,NA,NA,2,2006-07-10,43,2,2,1,2,0,0,0,0,1,0,1,2,2,0,0,1,0,0,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,9,3,0,1,1,81050,272,11,1334.76611328125,0.5,0.5338982939720154,6.590000152587891,6,3,1,60,0,3,0,0,0,0,0,60000,0,0,60000,0,0,0,60000,60000,No,1,0,0,1,0,1,0.011029411764705883,0,24,1,0
26,1,1,No,No,No,No,No,0,0,0,0,0,9800,0,0,0,0,0,NA,0,NA,NA,225000,1,1,8,2,6,6,2,2,0,4,2,0.25,0,0,0,0,0,0,2,2006-07-10,43,3,1,4,0,2,1,1,0,5,3,2,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,3,0,0,1,0,81050,272,11,1334.76611328125,0.5,0.5338982939720154,9.720000267028809,6,6,0,60,1,3,1,0,0,0,0,10000,10000,0,10000,0,10000,0,0,10000,No,1,0,0,1,0,1,0.029411764705882353,0,26,1,0
